UCTT,2019-06-19 00:00:00,2019-06-21 00:00:00,13.66,13.41,307,-76.75,0,-0.01830,1.000,0.800,0.900,0.800,1.000,0.300,0.500,1.000,1
UCTT,2019-07-01 00:00:00,2019-07-08 00:00:00,14.30,13.83,293,-137.71,0,-0.03287,1.000,1.000,0.700,0.800,1.000,0.500,0.500,1.000,3
UCTT,2019-07-22 00:00:00,2019-07-24 00:00:00,13.92,15.14,300,364.52,1,0.08729,1.000,1.000,0.900,0.800,1.000,0.500,0.500,1.000,2
UCTT,2019-07-25 00:00:00,2019-07-26 00:00:00,15.90,15.01,264,-233.64,0,-0.05566,1.000,1.000,0.700,0.800,1.000,0.700,0.500,1.000,1
UCTT,2019-10-24 00:00:00,2019-10-31 00:00:00,16.29,18.88,258,669.32,1,0.15925,1.000,0.850,0.700,0.800,1.000,0.500,0.500,1.000,5
UCTT,2019-11-01 00:00:00,2019-11-14 00:00:00,21.54,22.42,197,173.36,1,0.04085,1.000,1.000,0.700,0.500,0.896,0.700,0.763,1.000,8
UCTT,2019-12-09 00:00:00,2019-12-12 00:00:00,22.02,22.55,193,102.29,1,0.02407,1.000,1.000,0.300,0.800,1.000,0.500,1.000,0.500,2
UCTT,2019-12-13 00:00:00,2019-12-27 00:00:00,23.65,23.97,181,57.92,1,0.01353,1.000,1.000,0.300,0.800,1.000,0.500,1.000,0.500,8
UCTT,2019-12-30 00:00:00,2020-01-02 00:00:00,23.40,23.88,182,87.36,1,0.02051,1.000,1.000,0.300,0.800,0.639,0.300,0.991,1.000,1
HCKT,2019-03-29 00:00:00,2019-04-03 00:00:00,14.05,13.95,306,-32.33,0,-0.00752,1.000,1.000,0.700,0.800,1.000,0.500,0.500,0.500,2
HCKT,2019-04-05 00:00:00,2019-04-09 00:00:00,13.64,13.88,315,77.65,1,0.01808,1.000,1.000,0.700,0.800,1.000,0.700,0.500,0.500,1
HCKT,2019-06-07 00:00:00,2019-06-10 00:00:00,14.37,15.14,299,231.54,1,0.05390,1.000,0.750,0.900,0.800,1.000,0.500,0.500,1.000,1
HCKT,2019-09-06 00:00:00,2019-09-11 00:00:00,14.58,14.67,295,26.26,1,0.00610,1.000,1.000,0.700,0.800,1.000,0.500,0.500,0.500,2
HCKT,2020-01-06 00:00:00,2020-01-08 00:00:00,14.57,14.68,294,31.76,1,0.00741,1.000,1.000,0.700,0.800,1.000,0.500,0.500,1.000,1
HCKT,2020-01-09 00:00:00,2020-01-15 00:00:00,14.68,15.03,292,102.51,1,0.02391,1.000,1.000,0.700,0.800,1.000,0.500,0.500,1.000,4
SSYS,2019-04-11 00:00:00,2019-04-17 00:00:00,24.54,24.48,175,-10.50,0,-0.00245,1.000,0.988,0.700,0.800,0.857,0.300,0.500,1.000,3
SSYS,2019-06-20 00:00:00,2019-06-25 00:00:00,23.95,24.24,179,51.91,1,0.01211,1.000,0.883,0.700,0.800,1.000,0.500,0.500,1.000,2
SSYS,2019-07-01 00:00:00,2019-07-08 00:00:00,29.00,27.64,148,-201.28,0,-0.04690,1.000,0.850,0.700,0.500,1.000,1.000,0.500,1.000,3
SSYS,2019-10-14 00:00:00,2019-10-17 00:00:00,20.14,20.71,213,121.41,1,0.02830,1.000,1.000,0.900,0.800,1.000,0.500,0.500,0.500,2
SSYS,2019-10-24 00:00:00,2019-10-30 00:00:00,19.60,20.93,219,291.27,1,0.06786,1.000,1.000,0.700,0.800,1.000,0.500,0.500,0.500,3
SSYS,2019-11-06 00:00:00,2019-11-08 00:00:00,21.44,20.69,201,-150.75,0,-0.03498,1.000,1.000,0.700,0.800,1.000,0.500,0.000,1.000,1
SSYS,2020-01-13 00:00:00,2020-01-15 00:00:00,20.73,21.12,207,80.73,1,0.01881,1.000,0.933,0.900,0.800,1.000,0.500,0.500,0.500,1
KOSS,2019-03-11 00:00:00,2019-03-20 00:00:00,1.99,2.00,2165,21.65,1,0.00503,1.000,1.000,0.700,0.800,0.986,1.000,0.500,1.000,6
KOSS,2019-03-21 00:00:00,2019-03-25 00:00:00,2.00,2.04,2155,86.20,1,0.02000,1.000,1.000,0.700,0.800,1.000,0.300,0.500,1.000,1
KOSS,2019-03-29 00:00:00,2019-04-03 00:00:00,2.00,2.30,2158,638.15,1,0.14786,1.000,1.000,0.900,0.800,1.000,0.300,0.500,1.000,3
KOSS,2019-04-10 00:00:00,2019-04-12 00:00:00,2.02,2.16,2142,299.88,1,0.06931,1.000,1.000,0.700,0.800,1.000,0.300,0.500,1.000,1
CTLP,2020-04-24 00:00:00,2020-04-28 00:00:00,5.20,6.25,678,711.90,1,0.20192,1.000,1.000,0.700,0.800,1.000,0.300,0.500,1.000,1
CTLP,2020-04-29 00:00:00,2020-05-01 00:00:00,6.97,7.30,516,170.28,1,0.04735,1.000,0.848,0.700,0.800,1.000,0.500,0.500,1.000,1
CTLP,2020-05-06 00:00:00,2020-05-11 00:00:00,6.41,6.50,563,50.67,1,0.01404,1.000,1.000,0.700,0.800,1.000,0.300,0.500,1.000,2
CTLP,2020-06-30 00:00:00,2020-07-07 00:00:00,7.01,7.07,515,30.90,1,0.00856,1.000,0.483,0.700,0.800,1.000,1.000,0.500,1.000,3
CEVA,2020-04-29 00:00:00,2020-05-01 00:00:00,31.31,30.58,117,-85.41,0,-0.02332,1.000,1.000,0.700,0.500,1.000,0.300,0.500,1.000,1
CEVA,2020-06-02 00:00:00,2020-06-04 00:00:00,34.38,35.58,108,129.60,1,0.03490,1.000,1.000,0.900,0.500,1.000,0.500,0.500,1.000,1
CEVA,2020-06-30 00:00:00,2020-07-02 00:00:00,36.31,36.89,102,59.16,1,0.01597,1.000,1.000,0.900,0.500,1.000,0.500,0.500,1.000,1
XRX,2020-04-29 00:00:00,2020-05-01 00:00:00,13.70,13.16,274,-148.36,0,-0.03952,1.000,1.000,0.700,0.800,1.000,0.500,0.500,0.500,1
XRX,2020-05-18 00:00:00,2020-05-21 00:00:00,11.62,12.75,323,366.56,1,0.09770,1.000,0.983,0.900,0.800,1.000,0.500,0.500,0.500,2
XRX,2020-06-02 00:00:00,2020-06-04 00:00:00,12.76,13.23,296,140.51,1,0.03721,1.000,0.733,0.700,0.800,1.000,0.700,0.500,1.000,1
AEYE,2020-04-13 00:00:00,2020-04-20 00:00:00,4.64,5.71,821,878.47,1,0.23060,1.000,1.000,0.700,0.800,1.000,0.300,0.500,1.000,4
AEYE,2020-04-24 00:00:00,2020-04-28 00:00:00,7.87,7.45,492,-206.64,0,-0.05337,1.000,0.782,0.700,0.800,1.000,0.700,0.500,1.000,1
AEYE,2020-04-29 00:00:00,2020-05-01 00:00:00,7.18,7.07,536,-58.96,0,-0.01532,1.000,0.745,0.700,0.800,1.000,0.500,0.500,1.000,1
AEYE,2020-06-01 00:00:00,2020-06-10 00:00:00,8.67,8.90,444,102.12,1,0.02653,1.000,1.000,0.300,0.800,1.000,0.500,0.500,1.000,6
AEYE,2020-06-18 00:00:00,2020-06-24 00:00:00,9.23,9.01,419,-92.18,0,-0.02384,1.000,1.000,0.900,0.800,1.000,0.500,0.500,1.000,3
AEYE,2020-06-30 00:00:00,2020-07-02 00:00:00,9.90,10.25,391,136.85,1,0.03535,1.000,1.000,0.900,0.800,1.000,0.300,0.500,1.000,1
